cluster_name	gene	z_score
11	TAPBP	14.77761459350586
11	FHL3	14.715326309204102
11	IER5	14.701576232910156
11	GADD45B	14.653557777404785
11	ADM	14.60537052154541
11	IRF7	14.599283218383789
11	SH2B2	14.549620628356934
11	MYC	14.541604995727539
11	CHSY1	14.37381649017334
11	SLC1A3	14.25635814666748
11	IRF2BPL	14.037805557250977
11	CLEC5A	13.792917251586914
12	S100A8	28.001977920532227
12	S100A9	27.742143630981445
12	G0S2	20.81545066833496
12	PROK2	19.99529457092285
12	IL1R2	19.712018966674805
12	ALPL	18.95083999633789
12	ADGRG3	18.302688598632812
12	FCAR	18.262922286987305
12	MMP25	15.181943893432617
12	FOS	15.122262954711914
12	MCTP2	14.47613525390625
12	SAT1	14.217440605163574
12	CD177	12.726747512817383
12	MGAM	11.640564918518066
12	APOBEC3A	11.560298919677734
12	LRG1	10.713654518127441
12	ADM	9.987994194030762
12	BASP1	9.855977058410645
12	RGS2	9.625007629394531
12	PADI2	9.488570213317871
12	OSM	9.269003868103027
12	PTGS2	9.064065933227539
12	ANXA3	9.024025917053223
12	MT-CO3	9.01609992980957
12	S100A12	8.933150291442871
12	MMP9	8.850139617919922
12	FFAR2	8.71413803100586
12	CXCR1	8.304298400878906
12	IL18RAP	8.192303657531738
12	HIST2H2BE	8.082625389099121
12	VNN2	7.268221378326416
12	IVNS1ABP	7.105615139007568
12	CST7	7.072099208831787
12	BTG2	6.826286315917969
12	TNFRSF10C	6.796544075012207
12	PLIN5	6.795942306518555
12	GLT1D1	6.684892177581787
12	CXCR2	6.284631729125977
12	NCF4	5.990989685058594
12	ZDHHC18	5.6613616943359375
12	FCGR3B	5.57700777053833
12	CREB5	5.5628814697265625
12	KCNJ15	5.500497817993164
12	CXCL8	5.482619285583496
12	AATK	5.48168420791626
12	NTNG2	5.363010406494141
12	NFE2	5.189177989959717
12	PADI4	5.159249782562256
12	PPP1R15A	5.047189235687256
12	TMEM71	4.93418550491333
12	MT-CO1	4.9264044761657715
13	MT-CO1	62.19955062866211
13	MT-CO3	61.86114501953125
13	MT-CO2	58.94456481933594
13	MT-ATP6	58.027069091796875
13	MT-ND4	56.4153938293457
13	MT-ND3	49.718116760253906
13	CD74	49.19024658203125
13	MT-ND2	48.4648323059082
13	LYZ	48.23773193359375
13	MT-ND4L	44.180938720703125
13	MT-ND5	42.224369049072266
13	MT-ND1	41.688453674316406
13	HMOX1	41.106201171875
13	MT-CYB	40.78139877319336
13	SGK1	39.7762451171875
13	RCN3	38.87548065185547
13	ODF3B	36.0416374206543
13	HSPA6	35.5131721496582
13	HSP90AA1	35.05547332763672
13	HSPH1	34.811553955078125
13	HSPB1	34.093143463134766
13	IL13RA1	33.51268005371094
13	FOS	33.22152328491211
13	NSFL1C	32.68299865722656
13	CD300A	32.68073654174805
13	CBL	32.61238098144531
13	IFFO1	32.16832733154297
13	ATG16L2	32.15062713623047
13	APOE	32.11643981933594
13	JUN	31.989795684814453
13	MAF	31.278053283691406
13	VPS8	30.99004364013672
13	NAIP	30.898195266723633
13	GALNS	30.480810165405273
13	HSPA1B	30.102691650390625
13	ABCG1	29.861888885498047
13	TNFSF13B	29.63395881652832
13	GGA1	29.596111297607422
13	TIMP1	29.578258514404297
13	HSPA1A	29.33539581298828
13	CHKB	29.25245475769043
13	PACSIN2	29.24024200439453
13	IRF7	29.11240005493164
13	BST1	28.8425350189209
13	PLPP3	28.758676528930664
13	MT-ND6	28.709980010986328
13	CAMTA2	28.64577293395996
13	DNAJB1	28.59153175354004
13	XRN1	28.415185928344727
13	DEDD2	28.263660430908203
13	AVL9	28.194902420043945
14	HSPA1A	36.52082061767578
14	HSPA1B	35.287269592285156
14	HSP90AA1	30.288288116455078
14	DNAJB1	28.40867805480957
14	G0S2	24.738622665405273
14	MMP9	19.472421646118164
14	PPP1R15A	17.90871238708496
14	ALPL	16.866052627563477
14	SAT1	15.881643295288086
14	S100A9	15.164629936218262
14	IL1R2	14.966047286987305
14	CD177	14.913113594055176
14	ADGRG3	14.542960166931152
14	PROK2	14.46886157989502
14	HSPH1	13.807292938232422
14	FCAR	13.05224323272705
14	PLAUR	12.835108757019043
14	MCTP2	12.225197792053223
14	PTGS2	10.343830108642578
14	S100A8	9.694942474365234
14	HSPA6	9.404131889343262
14	IVNS1ABP	9.34183120727539
14	OSM	8.808276176452637
14	IL1RN	8.185423851013184
14	FFAR2	8.063867568969727
14	IER5	7.988454341888428
14	FOS	7.311038494110107
14	BASP1	7.229007244110107
14	DEDD2	7.095122814178467
14	CXCL8	6.940733909606934
14	IL1B	6.015819072723389
14	ADM	5.600820541381836
14	FUT7	5.438253402709961
14	MGAM	5.367551326751709
14	PIM3	5.265255928039551
14	HCAR3	4.683238983154297
14	MMP25	4.61749792098999
14	NTNG2	4.448896884918213
14	ZFAND2A	4.2996039390563965
14	DDIT4	4.247466564178467
14	HES4	4.206573963165283
