,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
2219,5.3254405316483306e-98,1.5169394,0.5155355682747342,0.24234998226550156,5.3254405316483306e-98,11,DDIT4
2220,3.375425499277161e-95,2.42325,0.3237939493049877,0.07200206365072712,3.375425499277161e-95,11,NLRP3
2221,7.12064041905239e-95,2.3823454,0.32174979558462796,0.07282429948731177,7.12064041905239e-95,11,KIFC3
2222,8.156621044675638e-87,3.2260485,0.27718724448078497,0.03983813239609196,8.156621044675638e-87,11,CLU
2223,8.681503385565846e-84,1.9257535,0.31275551921504496,0.06866475349047174,8.681503385565846e-84,11,GPR84
2224,2.974645101861333e-80,2.4126265,0.29762878168438267,0.07093799374455874,2.974645101861333e-80,11,C1orf122
2225,1.995690925445208e-74,1.4672704,0.35772690106295996,0.12933286041337502,1.995690925445208e-74,11,ASPH
2226,2.9666215318465278e-67,2.6161344,0.26655764513491415,0.05781446490181537,2.9666215318465278e-67,11,CXCL2
2227,1.3227252962196693e-62,1.6567705,0.30580539656582173,0.09180021281398124,1.3227252962196693e-62,11,NKG7
2228,2.643506354609135e-62,3.38425,0.22403924775143091,0.02126527585206204,2.643506354609135e-62,11,CCL20
2229,7.931476196848238e-62,2.2083704,0.2775960752248569,0.07798342630509786,7.931476196848238e-62,11,INSIG1
2230,4.589315619941827e-60,3.0135522,0.22281275551921503,0.02336117112178764,4.589315619941827e-60,11,CCL4L2
2231,2.455953680239832e-56,1.5224334,0.2837285363859362,0.08541579337697094,2.455953680239832e-56,11,HIF1A
2232,1.1282742164786477e-55,2.470937,0.2473426001635323,0.05773385354528746,1.1282742164786477e-55,11,NR4A1
2233,9.017934020957979e-55,1.7648845,0.28863450531479967,0.09465385483506916,9.017934020957979e-55,11,EGR1
2234,1.0476532970154634e-54,1.9309192,0.2506132461161079,0.05934608067584561,1.0476532970154634e-54,11,IKBKE
2235,6.205695048537344e-54,2.0212605,0.2596075224856909,0.07346919033953503,6.205695048537344e-54,11,FNIP2
2236,1.6950151701065868e-53,1.5937225,0.25511038430089944,0.0609260632637926,1.6950151701065868e-53,11,CDC42EP2
2237,2.9611773929558685e-50,1.1189086,0.3565004088307441,0.1630606519846516,2.9611773929558685e-50,11,SGK1
2238,1.0889666358600577e-49,1.2737395,0.8769419460343418,0.5773385354528746,1.0889666358600577e-49,11,SAT1
2239,1.021369872764063e-47,0.79594874,0.5069501226492232,0.29052332892657917,1.021369872764063e-47,11,TAPBP
2240,2.5072015667413183e-47,1.7585907,0.24325429272281276,0.06650436913552381,2.5072015667413183e-47,11,FHL3
2241,2.9988935024500834e-47,0.74292207,0.4713818479149632,0.2609067165382259,2.9988935024500834e-47,11,IER5
2242,5.946155270263611e-47,1.5499111,0.26573998364677026,0.0878180118015026,5.946155270263611e-47,11,GADD45B
2243,1.1798476841231793e-46,0.98503816,0.3777596075224857,0.1720407571018605,1.1798476841231793e-46,11,ADM
2244,1.2614024750912421e-46,0.85865337,0.41741618969746525,0.22003675877857673,1.2614024750912421e-46,11,IRF7
2245,2.5533956164665505e-46,1.1988556,0.294358135731807,0.11464547125399026,2.5533956164665505e-46,11,SH2B2
2246,2.8096222252381644e-46,2.3534582,0.22199509403107115,0.04967271789249669,2.8096222252381644e-46,11,MYC
2247,3.1479291739931767e-45,1.054199,0.3098937040065413,0.12862348047592945,3.1479291739931767e-45,11,CHSY1
2248,1.670445324422606e-44,2.738552,0.21300081766148815,0.04651275271660271,1.670445324422606e-44,11,SLC1A3
2249,3.660114277679234e-43,1.4788929,0.2698282910874898,0.1017798987521362,3.660114277679234e-43,11,IRF2BPL
2250,1.1025742968475728e-41,2.9156287,0.19869174161896974,0.035759197755779834,1.1025742968475728e-41,11,CLEC5A
2251,3.734999069810844e-41,1.7707292,0.22076860179885527,0.0543804211137265,3.734999069810844e-41,11,HLX
2252,8.893362487722955e-41,1.3100748,0.2747342600163532,0.09857156676232548,8.893362487722955e-41,11,S100A12
2253,1.4957120767275914e-39,0.8675129,0.3209321340964841,0.14817979556959984,1.4957120767275914e-39,11,ODF3B
2254,6.710997531916127e-39,2.4485443,0.1901062959934587,0.030084158256215136,6.710997531916127e-39,11,MARCKSL1
2255,8.637792937092926e-39,1.0667067,0.26941946034341785,0.10574597749330926,8.637792937092926e-39,11,BID
2256,5.633694856001088e-38,0.6229185,0.37816843826655766,0.1940315351626737,5.633694856001088e-38,11,PDLIM7
2257,2.59685602375319e-37,0.71009296,0.2992641046606705,0.1297036726534034,2.59685602375319e-37,11,ZNF267
2258,2.9389327642277e-37,2.0093682,0.20850367947669665,0.052848805339696256,2.9389327642277e-37,11,HOMER3
2259,7.013691739753958e-35,0.7588916,0.4603434178250204,0.27912488311353306,7.013691739753958e-35,11,JUN
2260,7.443900806478725e-35,1.4748093,0.2089125102207686,0.05405797568761487,7.443900806478725e-35,11,HS3ST3B1
2261,7.549477449792549e-35,1.7493817,0.21177432542927227,0.061764421371682844,7.549477449792549e-35,11,DCUN1D3
2262,1.110118697987351e-34,1.617936,0.22117743254292724,0.07043820333408571,1.110118697987351e-34,11,SEMA4B
2263,1.2973938690954096e-34,1.7059956,0.2367130008176615,0.09001064069906169,1.2973938690954096e-34,11,IL7R
2264,1.6034999205948781e-34,1.0368327,0.24243663123466885,0.08747944410408538,1.6034999205948781e-34,11,MTF1
2265,1.6256276340900228e-34,3.978158,0.16148814390842192,0.01243027117660336,1.6256276340900228e-34,11,PTX3
2266,2.074014262359505e-34,1.0849075,0.2632869991823385,0.1101634798310386,2.074014262359505e-34,11,CAMTA2
2267,5.302127062726736e-34,1.0631852,0.2596075224856909,0.10651984651597717,5.302127062726736e-34,11,RAB20
2268,2.3382380234917005e-33,1.444676,0.23426001635322977,0.08667333053880631,2.3382380234917005e-33,11,GGA1
2269,3.175743526037352e-33,2.6394742,0.18192968111201963,0.035549608228807275,3.175743526037352e-33,11,AREG
2270,5.7592113257532685e-33,0.8763186,0.2698282910874898,0.11567729661754748,5.7592113257532685e-33,11,PPM1F
2271,9.669066424822045e-33,1.0177348,0.26901062959934585,0.11938541901783123,9.669066424822045e-33,11,PURB
2272,1.8488956293274457e-32,1.2441615,0.21504497138184792,0.0648598974623545,1.8488956293274457e-32,11,AMPD3
2273,4.482568835195166e-32,2.6802557,0.1892886345053148,0.04823783574629994,4.482568835195166e-32,11,CXCL5
2274,6.259052178529256e-32,0.79094756,0.28945216680294356,0.1358301357495244,6.259052178529256e-32,11,AP5Z1
2275,7.342566350277078e-31,1.3450016,0.23344235486508585,0.09159062328700868,7.342566350277078e-31,11,MCRIP1
2276,1.0324825088165068e-30,1.4678695,0.21668029435813574,0.0758552864927611,1.0324825088165068e-30,11,ELL2
2277,2.1404222773642175e-30,0.7820441,0.27023712183156173,0.1223841614806694,2.1404222773642175e-30,11,SLCO3A1
2278,3.855162063360588e-30,0.6599004,0.2796402289452167,0.11885338406474705,3.855162063360588e-30,11,LRG1
2279,1.3025172952371605e-29,3.13609,0.16026165167620604,0.022748524812175538,1.3025172952371605e-29,11,IL1A
2280,7.094708596643475e-29,0.8534807,0.2645134914145544,0.12127172476058427,7.094708596643475e-29,11,DOCK4
2281,8.135544192746269e-29,1.6740906,0.2072771872444808,0.072276142262922,8.135544192746269e-29,11,TXNDC5
2282,2.1325849692935997e-28,1.0537044,0.22158626328699918,0.08094992422532486,2.1325849692935997e-28,11,MAFF
2283,2.9603226467691636e-28,0.5361232,0.4771054783319706,0.29742366104536805,2.9603226467691636e-28,11,BTG2
2284,5.991819177639143e-28,2.2951474,0.17007358953393295,0.03633959952278077,5.991819177639143e-28,11,TNFRSF10D
2286,1.0540606619166099e-27,0.9275777,0.2383483237939493,0.0992487021571599,1.0540606619166099e-27,11,ARID3A
2287,1.740887114406034e-27,0.75303185,0.2583810302534751,0.11619320929932608,1.740887114406034e-27,11,PPP4R2
2288,9.166361426885178e-27,2.6521587,0.1561733442354865,0.024796053267984394,9.166361426885178e-27,11,EREG
2289,2.195315091953991e-26,0.603981,0.6807031888798037,0.4448295875923,2.195315091953991e-26,11,SQSTM1
2290,3.82565553246057e-26,1.5985397,0.17784137367130007,0.04540031599651759,3.82565553246057e-26,11,SLAMF7
2292,1.0163364121508568e-25,0.7908556,0.23548650858544562,0.1024731564182762,1.0163364121508568e-25,11,PACSIN2
2293,1.7253777822947302e-25,1.7516457,0.18724448078495504,0.060232805597652594,1.7253777822947302e-25,11,MARCH2
2294,1.8126937851381556e-25,0.9420963,0.26001635322976285,0.12685003063231548,1.8126937851381556e-25,11,SOCS1
2295,4.259070816872483e-25,2.4761248,0.1545380212591987,0.027359494405571855,4.259070816872483e-25,11,SLAMF1
2296,6.308265428562199e-25,1.3686086,0.1713000817661488,0.04236932899106826,6.308265428562199e-25,11,GCH1
2297,8.749786967783293e-25,1.8151699,0.17457072771872445,0.04841518073066133,8.749786967783293e-25,11,NRGN
2298,1.9785166005781474e-24,1.688747,0.1757972199509403,0.049785573791635764,1.9785166005781474e-24,11,CD274
2299,2.556536927397524e-24,0.97823524,0.22281275551921503,0.09387998581240126,2.556536927397524e-24,11,AMPD2
2300,9.02298297611078e-24,1.8660592,0.17211774325429272,0.04883435978460646,9.02298297611078e-24,11,HPSE
2301,2.6615831904245654e-23,0.972225,0.2616516762060507,0.13550769032341275,2.6615831904245654e-23,11,RGCC
2302,5.1442550712599695e-23,1.0677551,0.2134096484055601,0.09004288524167285,5.1442550712599695e-23,11,AURKAIP1
2303,1.7207314635103762e-22,2.2249954,0.14431725265739984,0.023860961532260666,1.7207314635103762e-22,11,ZSWIM4
